groupe_sanguin;sexe;id_client;usage_vehicule;type_vehicule;date_demande;etat_dossier;formule;Presence_enfant;Tranche_revenus;Index_Personaliser;Tranche_Age_vehicule;Type_conduite_new;Typologie_employeur;Tranche_Age;Points_perdus_new;Enfant_conduite_accompagne_new;Tranche_Resid_Princ;Code_dept;Intervalle_Tarifs_Devis;Niveau_Instruction
A-;M;905237668;Private;Pickup;27/02/2022;complet;dev_integral;Oui;"[0; 20K€[";C22-2271;De 5 à 9 ans;Urban;Sans précision;Moins de 20 ans;Oui;Oui;"[100k€; 150k€[ ";62;"[300€; 325€[";Avant Lycée
A-;F;449849353;Private;Pickup;09/03/2022;complet;dev_integral;Non;"[120K€; Et plus [";C22-2275;De 15 à 19 ans;Urban;Sans précision;80 ans à plus;Non;Non;"[350k€; et plus[";53;"[275€; 300€[";Doctorat/Bac+8
B+;M;124037098;Private;z_SUV;31/05/2022;complet;dev_express;Non;"[60K€; 80K€[";C22-2279;De 10 à 14 ans;Urban;Type S.A;20 à 39 ans;Oui;Non;"[250k€; 300k€[";83;"[250€; 275€[";Licence/Bac+3
O+;F;412792711;Private;Minivan;02/03/2022;complet;dev_premium;Non;"[120K€; Et plus [";C22-2283;De 10 à 14 ans;Urban;Sans précision;60 à 79 ans;Non;Non;"[350k€; et plus[";20;"[350€; et plus[";Doctorat/Bac+8
A-;F;499317554;Commercial;Panel Truck;24/04/2022;complet;dev_premium;Oui;"[80K€; 100K€[";C22-2287;De 20 ans à plus;Urban;Sans précision;20 à 39 ans;Non;Non;"[200k€; 250k€[";61;"[350€; et plus[";Master/Bac+5
B-;F;235531258;Commercial;Pickup;21/01/2022;complet;dev_express;Non;"[0; 20K€[";C22-2291;De 10 à 14 ans;Urban;Sans précision;60 à 79 ans;Oui;Non;Locataire;79;"[275€; 300€[";Licence/Bac+3
B-;F;773852602;Private;z_SUV;07/03/2022;complet;dev_express;Non;"[60K€; 80K€[";C22-2295;De 10 à 14 ans;Urban;Type S.A;60 à 79 ans;Oui;Non;Locataire;86;"[250€; 275€[";Master/Bac+5
O-;F;539484340;Private;Pickup;31/05/2022;complet;dev_express;Non;"[0; 20K€[";C22-2299;De 15 à 19 ans;Rural;Sans précision;Moins de 20 ans;Non;Non;"[100k€; 150k€[ ";74;"[275€; 300€[";Licence/Bac+3
B-;M;218585066;Commercial;Van;13/05/2022;complet;dev_integral;Oui;"[60K€; 80K€[";C22-2303;De 5 à 9 ans;Urban;Sans précision;80 ans à plus;Oui;Non;"[250k€; 300k€[";75;"[275€; 300€[";Licence/Bac+3
AB-;F;767643193;Private;Pickup;23/05/2022;complet;dev_integral;Non;"[60K€; 80K€[";C22-2307;De 15 à 19 ans;Urban;Type S.A;60 à 79 ans;Non;Non;Locataire;55;"[275€; 300€[";Master/Bac+5
O+;M;661723256;Commercial;Minivan;11/05/2022;complet;dev_express;Non;"[0; 20K€[";C22-2311;De 10 à 14 ans;Urban;Type S.A.R.L;Moins de 20 ans;Oui;Non;Locataire;35;"[275€; 300€[";Licence/Bac+3
O-;M;456696568;Private;Minivan;05/04/2022;complet;dev_integral;Non;"[0; 20K€[";C22-2315;De 0 à 4 ans;Urban;Type S.A.S;40 à 59 ans;Oui;Non;"[100k€; 150k€[ ";46;"[325€; 350€[";Avant Lycée
O-;M;618184542;Private;z_SUV;27/05/2022;complet;dev_integral;Non;"[80K€; 100K€[";C22-2319;De 0 à 4 ans;Urban;Type S.A.S;40 à 59 ans;Oui;Non;"[250k€; 300k€[";25;"[300€; 325€[";Avant Lycée
B+;M;956524459;Private;Minivan;20/04/2022;complet;dev_premium;Oui;"[20K€; 40K€[";C22-2323;De 0 à 4 ans;Urban;Type S.A;40 à 59 ans;Oui;Non;Locataire;04;"[350€; et plus[";Avant Lycée
B+;M;530069868;Commercial;Panel Truck;25/01/2022;complet;dev_express;Oui;"[0; 20K€[";C22-2327;De 10 à 14 ans;Urban;Sans précision;40 à 59 ans;Non;Non;"[50k€; 100k€[";20;"[250€; 275€[";Licence/Bac+3
O-;M;184537318;Private;Minivan;08/04/2022;complet;dev_express;Oui;"[60K€; 80K€[";C22-2331;De 10 à 14 ans;Urban;Type S.A.R.L;40 à 59 ans;Oui;Non;"[250k€; 300k€[";55;"[250€; 275€[";Licence/Bac+3
A+;M;240367305;Private;Minivan;18/02/2022;complet;dev_integral;Non;"[0; 20K€[";C22-2335;De 5 à 9 ans;Rural;Type S.A.R.L;80 ans à plus;Non;Non;Locataire;91;"[325€; 350€[";Lycée ou après
O+;F;869159324;Commercial;Minivan;12/01/2022;complet;dev_integral;Non;"[80K€; 100K€[";C22-2339;De 0 à 4 ans;Urban;Type S.A;20 à 39 ans;Non;Non;"[250k€; 300k€[";27;"[300€; 325€[";Licence/Bac+3
AB-;M;159682229;Private;Sports Car;10/01/2022;complet;dev_integral;Non;"[0; 20K€[";C22-2343;De 0 à 4 ans;Urban;Type S.A.R.L;80 ans à plus;Oui;Non;"[50k€; 100k€[";64;"[300€; 325€[";Lycée ou après
AB+;M;318906935;Private;z_SUV;10/05/2022;complet;dev_premium;Oui;"[60K€; 80K€[";C22-2347;De 5 à 9 ans;Urban;Sans précision;80 ans à plus;Oui;Oui;"[200k€; 250k€[";01;"[350€; et plus[";Licence/Bac+3
AB-;M;555695397;Private;z_SUV;23/03/2022;complet;dev_premium;Oui;"[0; 20K€[";C22-2351;De 10 à 14 ans;Rural;Sans précision;80 ans à plus;Non;Non;"[50k€; 100k€[";61;"[350€; et plus[";Lycée ou après
A+;M;393037472;Private;z_SUV;19/02/2022;complet;dev_integral;Non;"[0; 20K€[";C22-2355;De 0 à 4 ans;Urban;Sans précision;60 à 79 ans;Oui;Non;Locataire;64;"[275€; 300€[";Avant Lycée
AB-;M;855884573;Private;z_SUV;27/04/2022;complet;dev_express;Oui;"[0; 20K€[";C22-2359;De 0 à 4 ans;Rural;Sans précision;20 à 39 ans;Non;Oui;"[50k€; 100k€[";02;"[250€; 275€[";Lycée ou après
B+;F;57270211;Private;Pickup;23/04/2022;complet;dev_express;Non;"[20K€; 40K€[";C22-2363;De 0 à 4 ans;Urban;Sans précision;60 à 79 ans;Non;Non;"[150k€; 200k€[";95;"[275€; 300€[";Avant Lycée
AB+;F;686534779;Commercial;Panel Truck;21/05/2022;complet;dev_integral;Non;"[120K€; Et plus [";C22-2367;De 10 à 14 ans;Urban;Sans précision;40 à 59 ans;Oui;Non;"[350k€; et plus[";94;"[300€; 325€[";Licence/Bac+3
AB-;M;950352670;Private;Van;06/01/2022;complet;dev_express;Non;"[100K€; 120K€[";C22-2371;De 0 à 4 ans;Urban;Type S.A.R.L;Moins de 20 ans;Oui;Non;Locataire;93;"[275€; 300€[";Master/Bac+5
B+;M;793010743;Private;z_SUV;08/04/2022;complet;dev_integral;Oui;"[80K€; 100K€[";C22-2375;De 10 à 14 ans;Urban;Type S.A.R.L;Moins de 20 ans;Non;Non;"[250k€; 300k€[";75;"[300€; 325€[";Master/Bac+5
AB-;F;565148583;Private;z_SUV;25/04/2022;complet;dev_integral;Non;"[40K€; 60K€[";C22-2379;De 5 à 9 ans;Urban;Type S.A;80 ans à plus;Non;Non;Locataire;95;"[325€; 350€[";Licence/Bac+3
AB-;M;728106713;Private;Sports Car;09/01/2022;complet;dev_express;Non;"[40K€; 60K€[";C22-2383;De 15 à 19 ans;Urban;Sans précision;80 ans à plus;Oui;Non;"[150k€; 200k€[";93;"[250€; 275€[";Master/Bac+5
B+;M;989631917;Private;Minivan;05/02/2022;complet;dev_integral;Non;"[0; 20K€[";C22-2387;De 5 à 9 ans;Rural;Type S.A;40 à 59 ans;Oui;Non;Locataire;94;"[300€; 325€[";Avant Lycée
O-;M;155240688;Private;Minivan;01/03/2022;complet;dev_integral;Non;"[120K€; Et plus [";C22-2391;De 10 à 14 ans;Urban;Sans précision;80 ans à plus;Oui;Non;"[350k€; et plus[";18;"[275€; 300€[";Doctorat/Bac+8
B+;M;740230736;Private;Sports Car;14/02/2022;complet;dev_premium;Non;"[0; 20K€[";C22-2395;De 20 ans à plus;Rural;Type S.A.S;60 à 79 ans;Oui;Non;Sans précision;53;"[350€; et plus[";Master/Bac+5
O+;F;936978233;Commercial;Pickup;13/02/2022;complet;dev_integral;Oui;"[80K€; 100K€[";C22-2399;De 5 à 9 ans;Urban;Type S.A;20 à 39 ans;Oui;Non;Locataire;90;"[275€; 300€[";Licence/Bac+3
A+;M;944945563;Commercial;Pickup;11/03/2022;complet;dev_premium;Oui;"[0; 20K€[";C22-2403;De 0 à 4 ans;Rural;Type S.A;40 à 59 ans;Oui;Oui;"[100k€; 150k€[ ";89;"[350€; et plus[";Avant Lycée
O+;M;109837109;Commercial;z_SUV;12/01/2022;complet;dev_express;Oui;"[60K€; 80K€[";C22-2407;De 10 à 14 ans;Urban;Type S.A;40 à 59 ans;Oui;Oui;"[200k€; 250k€[";80;"[250€; 275€[";Licence/Bac+3
B+;F;146613590;Private;Minivan;10/03/2022;complet;dev_integral;Oui;"[0; 20K€[";C22-2411;De 10 à 14 ans;Urban;Sans précision;40 à 59 ans;Non;Oui;"[50k€; 100k€[";14;"[300€; 325€[";Licence/Bac+3
AB+;M;703813576;Commercial;Panel Truck;10/05/2022;complet;dev_express;Non;"[120K€; Et plus [";C22-2415;De 5 à 9 ans;Urban;Type S.A.R.L;60 à 79 ans;Non;Non;"[350k€; et plus[";20;"[250€; 275€[";Doctorat/Bac+8
AB+;F;688951353;Commercial;z_SUV;11/01/2022;complet;dev_premium;Non;"[60K€; 80K€[";C22-2419;De 0 à 4 ans;Urban;Type S.A.R.L;Moins de 20 ans;Oui;Non;"[250k€; 300k€[";48;"[350€; et plus[";Licence/Bac+3
B-;M;402836695;Private;Sports Car;05/05/2022;complet;dev_premium;Non;"[0; 20K€[";C22-2423;De 5 à 9 ans;Rural;Sans précision;20 à 39 ans;Non;Non;"[150k€; 200k€[";64;"[350€; et plus[";Licence/Bac+3
AB+;F;977521421;Private;Minivan;21/02/2022;complet;dev_integral;Oui;"[60K€; 80K€[";C22-2427;De 15 à 19 ans;Urban;Type S.A;40 à 59 ans;Oui;Non;"[200k€; 250k€[";12;"[300€; 325€[";Master/Bac+5
O+;M;912953961;Commercial;Van;07/04/2022;complet;dev_premium;Non;"[60K€; 80K€[";C22-2431;De 10 à 14 ans;Urban;Sans précision;40 à 59 ans;Non;Non;"[250k€; 300k€[";03;"[350€; et plus[";Master/Bac+5
AB-;M;930441156;Commercial;Minivan;07/02/2022;complet;dev_integral;Non;"[60K€; 80K€[";C22-2435;De 5 à 9 ans;Urban;Type S.A.R.L;60 à 79 ans;Oui;Non;Locataire;64;"[275€; 300€[";Lycée ou après
O+;F;847136592;Commercial;z_SUV;28/05/2022;complet;dev_express;Oui;"[20K€; 40K€[";C22-2439;De 5 à 9 ans;Rural;Type S.A.S;Moins de 20 ans;Non;Non;Locataire;46;"[275€; 300€[";Lycée ou après
B-;M;811501994;Private;Minivan;03/03/2022;complet;dev_integral;Non;"[80K€; 100K€[";C22-2443;De 5 à 9 ans;Urban;Sans précision;60 à 79 ans;Non;Non;[300k€ à 350k€[;61;"[300€; 325€[";Doctorat/Bac+8
A-;M;302263778;Private;Minivan;07/02/2022;complet;dev_integral;Oui;"[120K€; Et plus [";C22-2447;De 15 à 19 ans;Urban;Sans précision;20 à 39 ans;Non;Non;Locataire;08;"[300€; 325€[";Master/Bac+5
O-;F;725081018;Private;z_SUV;07/01/2022;complet;dev_premium;Non;"[80K€; 100K€[";C22-2451;De 15 à 19 ans;Rural;Sans précision;20 à 39 ans;Non;Non;"[250k€; 300k€[";51;"[300€; 325€[";Doctorat/Bac+8
A+;M;844404167;Commercial;Minivan;26/02/2022;complet;dev_premium;Non;"[20K€; 40K€[";C22-2455;De 5 à 9 ans;Urban;Sans précision;Moins de 20 ans;Non;Non;"[150k€; 200k€[";89;"[350€; et plus[";Lycée ou après
O-;M;883538003;Private;Van;07/04/2022;complet;dev_integral;Non;"[120K€; Et plus [";C22-2459;De 15 à 19 ans;Urban;Sans précision;Moins de 20 ans;Non;Non;"[350k€; et plus[";93;"[300€; 325€[";Doctorat/Bac+8
B-;F;599858191;Private;Sports Car;22/03/2022;complet;dev_express;Non;"[120K€; Et plus [";C22-2463;De 20 ans à plus;Urban;Type S.A.R.L;60 à 79 ans;Oui;Non;Locataire;39;"[250€; 275€[";Master/Bac+5
B+;F;582432313;Private;z_SUV;12/01/2022;complet;dev_integral;Non;"[80K€; 100K€[";C22-2467;De 10 à 14 ans;Rural;Type S.A.R.L;Moins de 20 ans;Oui;Non;Locataire;40;"[300€; 325€[";Master/Bac+5
B+;M;282607316;Private;Sports Car;10/03/2022;complet;dev_integral;Oui;"[20K€; 40K€[";C22-2471;De 10 à 14 ans;Urban;Type S.A.R.L;40 à 59 ans;Non;Oui;Locataire;09;"[300€; 325€[";Master/Bac+5
AB-;F;848872018;Commercial;Sports Car;11/02/2022;complet;dev_integral;Non;"[40K€; 60K€[";C22-2475;De 0 à 4 ans;Urban;Type S.A;Moins de 20 ans;Oui;Non;Sans précision;66;"[275€; 300€[";Licence/Bac+3
A-;F;362882890;Private;Minivan;17/04/2022;complet;dev_express;Non;"[80K€; 100K€[";C22-2479;De 0 à 4 ans;Rural;Sans précision;20 à 39 ans;Oui;Non;Locataire;32;"[250€; 275€[";Lycée ou après
O-;M;979691393;Private;Minivan;20/05/2022;complet;dev_integral;Oui;"[0; 20K€[";C22-2483;De 5 à 9 ans;Urban;Sans précision;60 à 79 ans;Oui;Non;"[200k€; 250k€[";47;"[325€; 350€[";Licence/Bac+3
B+;F;167293619;Commercial;Panel Truck;08/01/2022;complet;dev_express;Non;"[120K€; Et plus [";C22-2487;De 15 à 19 ans;Rural;Type S.A.R.L;Moins de 20 ans;Non;Non;Locataire;03;"[250€; 275€[";Master/Bac+5
B+;M;541316894;Private;Sports Car;14/03/2022;complet;dev_express;Non;"[80K€; 100K€[";C22-2491;De 10 à 14 ans;Urban;Sans précision;Moins de 20 ans;Oui;Non;Locataire;03;"[250€; 275€[";Doctorat/Bac+8
O-;M;454751032;Private;Pickup;23/05/2022;complet;dev_integral;Non;"[100K€; 120K€[";C22-2495;De 10 à 14 ans;Urban;Sans précision;Moins de 20 ans;Non;Non;"[250k€; 300k€[";22;"[275€; 300€[";Licence/Bac+3
B-;M;667221816;Commercial;Sports Car;09/04/2022;complet;dev_integral;Non;"[40K€; 60K€[";C22-2499;De 10 à 14 ans;Urban;Sans précision;Moins de 20 ans;Oui;Non;"[150k€; 200k€[";91;"[300€; 325€[";Licence/Bac+3
AB+;M;447265219;Private;Van;28/04/2022;complet;dev_integral;Non;"[40K€; 60K€[";C22-2503;De 15 à 19 ans;Urban;Sans précision;Moins de 20 ans;Non;Non;"[100k€; 150k€[ ";61;"[300€; 325€[";Master/Bac+5
O+;M;169244879;Private;Pickup;17/02/2022;complet;dev_premium;Non;"[20K€; 40K€[";C22-2507;De 0 à 4 ans;Rural;Sans précision;Moins de 20 ans;Oui;Non;"[150k€; 200k€[";45;"[350€; et plus[";Lycée ou après
O+;F;755748771;Private;Minivan;16/04/2022;complet;dev_express;Non;"[100K€; 120K€[";C22-2511;De 10 à 14 ans;Urban;Sans précision;60 à 79 ans;Oui;Non;[300k€ à 350k€[;73;"[275€; 300€[";Lycée ou après
AB-;M;603486842;Private;Minivan;14/04/2022;complet;dev_express;Non;"[120K€; Et plus [";C22-2515;De 10 à 14 ans;Urban;Sans précision;Moins de 20 ans;Non;Non;"[350k€; et plus[";70;"[275€; 300€[";Doctorat/Bac+8
A-;M;50401499;Commercial;Minivan;26/04/2022;complet;dev_premium;Non;"[80K€; 100K€[";C22-2519;De 5 à 9 ans;Urban;Type S.A.R.L;20 à 39 ans;Non;Non;"[250k€; 300k€[";64;"[350€; et plus[";Licence/Bac+3
AB-;M;804950145;Private;Sports Car;24/04/2022;complet;dev_integral;Non;"[40K€; 60K€[";C22-2523;De 0 à 4 ans;Urban;Type S.A;40 à 59 ans;Oui;Non;"[200k€; 250k€[";11;"[275€; 300€[";Avant Lycée
O-;M;681388843;Private;Pickup;03/03/2022;complet;dev_integral;Non;"[40K€; 60K€[";C22-2527;De 5 à 9 ans;Urban;Sans précision;Moins de 20 ans;Non;Non;Sans précision;43;"[300€; 325€[";Master/Bac+5
AB+;M;62643113;Private;Minivan;18/03/2022;complet;dev_integral;Non;"[120K€; Et plus [";C22-2531;De 15 à 19 ans;Urban;Sans précision;Moins de 20 ans;Oui;Non;[300k€ à 350k€[;61;"[325€; 350€[";Master/Bac+5
O+;F;504537312;Private;Sports Car;28/04/2022;complet;dev_integral;Non;"[40K€; 60K€[";C22-2535;De 5 à 9 ans;Urban;Sans précision;80 ans à plus;Oui;Non;"[200k€; 250k€[";74;"[275€; 300€[";Licence/Bac+3
A-;F;924606887;Commercial;Van;22/03/2022;complet;dev_express;Oui;"[80K€; 100K€[";C22-2539;De 5 à 9 ans;Urban;Type S.A.S;Moins de 20 ans;Oui;Non;"[250k€; 300k€[";10;"[275€; 300€[";Licence/Bac+3
AB+;F;627950237;Commercial;Pickup;08/02/2022;complet;dev_integral;Oui;"[60K€; 80K€[";C22-2543;De 10 à 14 ans;Urban;Type S.A.S;Moins de 20 ans;Oui;Oui;Sans précision;26;"[300€; 325€[";Master/Bac+5
AB-;F;703216044;Commercial;Panel Truck;08/02/2022;complet;dev_integral;Non;"[80K€; 100K€[";C22-2547;De 0 à 4 ans;Rural;Type S.A;20 à 39 ans;Non;Non;"[250k€; 300k€[";27;"[325€; 350€[";Licence/Bac+3
A+;F;160740784;Private;z_SUV;07/02/2022;complet;dev_integral;Non;"[20K€; 40K€[";C22-2551;De 0 à 4 ans;Rural;Sans précision;60 à 79 ans;Non;Non;Locataire;81;"[275€; 300€[";Avant Lycée
AB+;F;192315205;Commercial;Pickup;22/03/2022;complet;dev_express;Oui;"[60K€; 80K€[";C22-2555;De 0 à 4 ans;Urban;Type S.A.S;60 à 79 ans;Oui;Non;"[150k€; 200k€[";50;"[250€; 275€[";Lycée ou après
O+;F;897103108;Commercial;Pickup;13/04/2022;complet;dev_premium;Non;"[20K€; 40K€[";C22-2559;De 0 à 4 ans;Urban;Sans précision;80 ans à plus;Oui;Non;"[100k€; 150k€[ ";80;"[350€; et plus[";Lycée ou après
AB+;M;610200368;Private;Sports Car;16/02/2022;complet;dev_premium;Oui;"[0; 20K€[";C22-2563;De 0 à 4 ans;Urban;Type S.A;60 à 79 ans;Oui;Oui;Sans précision;29;"[350€; et plus[";Avant Lycée
B-;F;792000183;Private;Minivan;01/03/2022;complet;dev_integral;Non;"[0; 20K€[";C22-2567;De 5 à 9 ans;Urban;Type S.A.S;Moins de 20 ans;Non;Non;"[50k€; 100k€[";36;"[300€; 325€[";Avant Lycée
B-;F;493243717;Private;z_SUV;17/01/2022;complet;dev_integral;Non;"[20K€; 40K€[";C22-2571;De 0 à 4 ans;Rural;Sans précision;20 à 39 ans;Non;Non;"[150k€; 200k€[";81;"[275€; 300€[";Lycée ou après
A-;M;274597013;Private;Minivan;21/05/2022;complet;dev_integral;Oui;"[0; 20K€[";C22-2575;De 5 à 9 ans;Rural;Sans précision;40 à 59 ans;Oui;Oui;"[50k€; 100k€[";71;"[325€; 350€[";Avant Lycée
AB+;F;596752979;Private;Minivan;17/04/2022;complet;dev_premium;Non;"[120K€; Et plus [";C22-2579;De 15 à 19 ans;Urban;Type S.A.R.L;40 à 59 ans;Oui;Non;Locataire;60;"[325€; 350€[";Master/Bac+5
AB-;F;748612029;Private;z_SUV;13/02/2022;complet;dev_integral;Non;"[60K€; 80K€[";C22-2583;De 0 à 4 ans;Urban;Type S.A.R.L;Moins de 20 ans;Non;Non;"[200k€; 250k€[";05;"[300€; 325€[";Licence/Bac+3
O+;M;488798803;Private;Minivan;08/03/2022;complet;dev_express;Oui;"[120K€; Et plus [";C22-2587;De 20 ans à plus;Urban;Sans précision;60 à 79 ans;Non;Non;[300k€ à 350k€[;87;"[275€; 300€[";Doctorat/Bac+8
A-;M;318963239;Commercial;Minivan;01/05/2022;complet;dev_integral;Non;"[80K€; 100K€[";C22-2591;De 5 à 9 ans;Rural;Type S.A.S;40 à 59 ans;Oui;Non;"[250k€; 300k€[";37;"[300€; 325€[";Licence/Bac+3
AB-;M;459075283;Commercial;Pickup;10/02/2022;complet;dev_integral;Non;"[120K€; Et plus [";C22-2595;De 15 à 19 ans;Urban;Type S.A;20 à 39 ans;Non;Non;"[350k€; et plus[";23;"[300€; 325€[";Master/Bac+5
O+;F;454399686;Private;Sports Car;17/03/2022;complet;dev_integral;Oui;"[80K€; 100K€[";C22-2599;De 0 à 4 ans;Urban;Type S.A;20 à 39 ans;Non;Non;"[250k€; 300k€[";37;"[300€; 325€[";Doctorat/Bac+8
O-;M;329198624;Commercial;z_SUV;10/02/2022;complet;dev_premium;Non;"[20K€; 40K€[";C22-2603;De 5 à 9 ans;Rural;Type S.A.R.L;60 à 79 ans;Oui;Non;Locataire;52;"[325€; 350€[";Lycée ou après
B+;F;573744666;Private;z_SUV;16/01/2022;complet;dev_integral;Non;"[40K€; 60K€[";C22-2607;De 0 à 4 ans;Urban;Sans précision;40 à 59 ans;Non;Non;"[150k€; 200k€[";65;"[300€; 325€[";Lycée ou après
AB-;M;577993978;Commercial;Minivan;05/01/2022;complet;dev_integral;Oui;"[40K€; 60K€[";C22-2611;De 0 à 4 ans;Urban;Type S.A;60 à 79 ans;Oui;Non;"[150k€; 200k€[";90;"[275€; 300€[";Lycée ou après
B-;F;407556242;Commercial;Panel Truck;11/01/2022;complet;dev_vip;Oui;"[120K€; Et plus [";C22-2615;De 15 à 19 ans;Urban;Sans précision;40 à 59 ans;Non;Oui;"[350k€; et plus[";23;"[350€; et plus[";Master/Bac+5
AB+;M;737722324;Commercial;z_SUV;11/03/2022;complet;dev_integral;Oui;"[40K€; 60K€[";C22-2619;De 0 à 4 ans;Urban;Sans précision;40 à 59 ans;Non;Non;"[200k€; 250k€[";77;"[300€; 325€[";Lycée ou après
B+;F;930187847;Private;z_SUV;10/01/2022;complet;dev_integral;Non;"[20K€; 40K€[";C22-2623;De 0 à 4 ans;Rural;Type S.A.R.L;60 à 79 ans;Non;Non;"[100k€; 150k€[ ";19;"[300€; 325€[";Licence/Bac+3
B-;M;251992241;Commercial;Van;15/05/2022;complet;dev_integral;Oui;"[20K€; 40K€[";C22-2627;De 0 à 4 ans;Urban;Type S.A;40 à 59 ans;Oui;Oui;"[150k€; 200k€[";27;"[275€; 300€[";Avant Lycée
AB+;F;917731732;Private;z_SUV;03/01/2022;complet;dev_integral;Oui;"[0; 20K€[";C22-2631;De 5 à 9 ans;Rural;Sans précision;60 à 79 ans;Oui;Oui;"[100k€; 150k€[ ";55;"[300€; 325€[";Lycée ou après
AB+;F;607046916;Private;Minivan;22/01/2022;complet;dev_integral;Non;"[120K€; Et plus [";C22-2635;De 10 à 14 ans;Urban;Type S.A.S;60 à 79 ans;Oui;Non;Locataire;21;"[325€; 350€[";Doctorat/Bac+8
AB+;F;442991746;Commercial;Pickup;03/04/2022;complet;dev_premium;Non;"[20K€; 40K€[";C22-2639;De 0 à 4 ans;Urban;Sans précision;60 à 79 ans;Oui;Non;Sans précision;35;"[350€; et plus[";Avant Lycée
AB-;F;978503862;Commercial;Pickup;15/03/2022;complet;dev_integral;Non;"[20K€; 40K€[";C22-2643;De 10 à 14 ans;Rural;Type S.A.R.L;20 à 39 ans;Oui;Non;"[100k€; 150k€[ ";18;"[300€; 325€[";Licence/Bac+3
A-;M;833942385;Private;Van;11/05/2022;complet;dev_vip;Non;"[0; 20K€[";C22-2647;De 20 ans à plus;Rural;Sans précision;60 à 79 ans;Oui;Non;"[50k€; 100k€[";88;"[350€; et plus[";Master/Bac+5
B-;M;738856598;Private;Minivan;20/02/2022;complet;dev_premium;Oui;"[60K€; 80K€[";C22-2651;De 15 à 19 ans;Urban;Sans précision;40 à 59 ans;Oui;Non;Locataire;45;"[350€; et plus[";Licence/Bac+3
B+;M;752304401;Private;Sports Car;07/03/2022;complet;dev_integral;Non;"[20K€; 40K€[";C22-2655;De 5 à 9 ans;Urban;Sans précision;40 à 59 ans;Non;Non;"[150k€; 200k€[";53;"[325€; 350€[";Lycée ou après
B+;M;98293286;Commercial;Pickup;11/04/2022;complet;dev_integral;Oui;"[100K€; 120K€[";C22-2659;De 15 à 19 ans;Urban;Sans précision;40 à 59 ans;Oui;Oui;[300k€ à 350k€[;36;"[300€; 325€[";Master/Bac+5
B+;M;80263404;Private;z_SUV;21/01/2022;complet;dev_premium;Oui;"[0; 20K€[";C22-2663;De 0 à 4 ans;Urban;Type S.A.R.L;60 à 79 ans;Non;Oui;"[50k€; 100k€[";72;"[350€; et plus[";Lycée ou après
O+;M;140971425;Private;Minivan;22/03/2022;complet;dev_integral;Non;"[60K€; 80K€[";C22-2667;De 10 à 14 ans;Urban;Sans précision;Moins de 20 ans;Non;Non;Locataire;38;"[300€; 325€[";Licence/Bac+3
AB+;F;365196787;Commercial;Minivan;11/04/2022;complet;dev_integral;Non;"[40K€; 60K€[";C22-2671;De 10 à 14 ans;Urban;Sans précision;40 à 59 ans;Oui;Non;Locataire;24;"[325€; 350€[";Lycée ou après
B+;F;173389804;Private;z_SUV;17/01/2022;complet;dev_integral;Non;"[20K€; 40K€[";C22-2675;De 0 à 4 ans;Urban;Sans précision;Moins de 20 ans;Oui;Non;"[150k€; 200k€[";82;"[325€; 350€[";Lycée ou après
AB-;M;59878421;Private;z_SUV;08/04/2022;complet;dev_integral;Oui;"[100K€; 120K€[";C22-2679;De 15 à 19 ans;Urban;Sans précision;20 à 39 ans;Oui;Oui;[300k€ à 350k€[;72;"[300€; 325€[";Master/Bac+5
AB+;F;848354716;Commercial;z_SUV;10/05/2022;complet;dev_express;Oui;"[0; 20K€[";C22-2683;De 5 à 9 ans;Rural;Type S.A;Moins de 20 ans;Oui;Non;Locataire;20;"[250€; 275€[";Avant Lycée
A+;M;441256216;Private;z_SUV;23/02/2022;complet;dev_integral;Oui;"[0; 20K€[";C22-2687;De 0 à 4 ans;Rural;Type S.A.R.L;20 à 39 ans;Oui;Non;Locataire;72;"[275€; 300€[";Avant Lycée
O-;M;499584399;Private;Pickup;02/04/2022;complet;dev_express;Oui;"[60K€; 80K€[";C22-2691;De 0 à 4 ans;Rural;Type S.A.R.L;60 à 79 ans;Oui;Non;"[200k€; 250k€[";94;"[250€; 275€[";Avant Lycée
O+;F;767110493;Commercial;Pickup;15/02/2022;complet;dev_integral;Non;"[40K€; 60K€[";C22-2695;De 5 à 9 ans;Urban;Type S.A;40 à 59 ans;Oui;Non;"[150k€; 200k€[";69;"[275€; 300€[";Lycée ou après
O-;M;910942216;Commercial;Minivan;08/01/2022;complet;dev_express;Non;"[20K€; 40K€[";C22-2699;De 0 à 4 ans;Rural;Sans précision;60 à 79 ans;Non;Non;Locataire;18;"[250€; 275€[";Lycée ou après
O+;M;850354716;Commercial;Pickup;24/03/2022;complet;dev_integral;Oui;"[80K€; 100K€[";C22-2703;De 15 à 19 ans;Urban;Type S.A;80 ans à plus;Oui;Non;"[200k€; 250k€[";42;"[300€; 325€[";Master/Bac+5
B-;F;158766557;Commercial;z_SUV;24/05/2022;complet;dev_integral;Oui;"[60K€; 80K€[";C22-2707;De 10 à 14 ans;Urban;Sans précision;60 à 79 ans;Oui;Non;"[200k€; 250k€[";84;"[275€; 300€[";Licence/Bac+3
B+;F;128167873;Private;Minivan;17/01/2022;complet;dev_integral;Non;"[40K€; 60K€[";C22-2711;De 15 à 19 ans;Urban;Sans précision;20 à 39 ans;Oui;Non;"[200k€; 250k€[";18;"[275€; 300€[";Master/Bac+5
